"","Internal_comparison_result","Source_and_grouping"
"1","All match","spc_age_and_sex_age"
"2","All match","spc_age_and_sex_phase_type_grouping"
"3","All match","spc_age_and_sex_sex"
"4","All match","spc_age_and_sex_total"
"5","All match","spc_ap_census_age"
"6","All match","spc_ap_census_ethnicity_minor"
"7","All match","spc_ap_census_fsm"
"8","All match","spc_ap_census_sex"
"9","All match","spc_ap_census_total"
"10","All match","spc_ap_chars_pupil_characteristic"
"11","All match","spc_ap_chars_setting_type"
"12","All match","spc_ap_chars_total"
"13","All match","spc_ap_placement_pupil_characteristic"
"14","All match","spc_ap_placement_setting_type"
"15","All match","spc_ap_placement_total"
"16","All match","spc_ap_reason_placement_reason"
"17","All match","spc_ap_reason_setting_type"
"18","All match","spc_ap_reason_total"
"19","All match","spc_ap_setting_setting_type"
"20","All match","spc_ap_setting_total"
"21","All match","spc_class_size_classes_classtype"
"22","All match","spc_class_size_classes_size"
"23","All match","spc_class_size_classes_total"
"24","All match","spc_class_size_pupils_classtype"
"25","All match","spc_class_size_pupils_size"
"26","All match","spc_class_size_pupils_total"
"27","All match","spc_ethnicity_language_ethnicity_minor"
"28","All match","spc_ethnicity_language_language"
"29","All match","spc_ethnicity_language_phase_type_grouping"
"30","All match","spc_ethnicity_language_total"
"31","All match","spc_pupil_fsm_characteristic"
"32","All match","spc_pupil_fsm_fsm_eligibility"
"33","All match","spc_pupil_fsm_phase_type_grouping"
"34","All match","spc_pupil_fsm_total"
"35","All match","spc_pupil_school_chars_academy_flag"
"36","All match","spc_pupil_school_chars_admissions_policy"
"37","All match","spc_pupil_school_chars_denomination"
"38","All match","spc_pupil_school_chars_phase_type_grouping"
"39","All match","spc_pupil_school_chars_sex_of_school_description"
"40","All match","spc_pupil_school_chars_total"
"41","All match","spc_pupil_school_chars_type_of_establishment"
"42","All match","spc_pupil_school_chars_urban_rural"
"43","All match","spc_pupils_fsm_fsm"
"44","All match","spc_pupils_fsm_phase_type_grouping"
"45","All match","spc_pupils_fsm_total"
"46","All match","spc_schools_school_chars_academy_flag"
"47","All match","spc_schools_school_chars_admissions_policy"
"48","All match","spc_schools_school_chars_denomination"
"49","All match","spc_schools_school_chars_phase_type_grouping"
"50","All match","spc_schools_school_chars_sex_of_school_description"
"51","All match","spc_schools_school_chars_total"
"52","All match","spc_schools_school_chars_type_of_establishment"
"53","All match","spc_schools_school_chars_urban_rural"
"54","All match","spc_uifsm_characteristic"
"55","All match","spc_uifsm_lunch_taken"
"56","All match","spc_uifsm_phase_type_grouping"
"57","All match","spc_uifsm_total"
"58","All match","spc_yeargroup_and_sex_ncyear"
"59","All match","spc_yeargroup_and_sex_phase_type_grouping"
"60","All match","spc_yeargroup_and_sex_sex"
"61","All match","spc_yeargroup_and_sex_total"
"62","All match","spc_young_carers_characteristic"
"63","All match","spc_young_carers_phase_type_grouping"
"64","All match","spc_young_carers_total"
"65","All match","spc_young_carers_young_carer"
