"","la_name","age","la_total"
"1","Barking and Dagenham","Age 0",0
"2","Barking and Dagenham","Age 1",0
"3","Barking and Dagenham","Age 10",7
"4","Barking and Dagenham","Age 11",9
"5","Barking and Dagenham","Age 12",7
"6","Barking and Dagenham","Age 13",8
"7","Barking and Dagenham","Age 14",13
"8","Barking and Dagenham","Age 15",9
"9","Barking and Dagenham","Age 16",17
"10","Barking and Dagenham","Age 17",22
"11","Barking and Dagenham","Age 18",18
"12","Barking and Dagenham","Age 19 plus",0
"13","Barking and Dagenham","Age 2",0
"14","Barking and Dagenham","Age 3",0
"15","Barking and Dagenham","Age 4",1
"16","Barking and Dagenham","Age 5",1
"17","Barking and Dagenham","Age 6",1
"18","Barking and Dagenham","Age 7",0
"19","Barking and Dagenham","Age 8",3
"20","Barking and Dagenham","Age 9",4
"21","Barnet","Age 0",0
"22","Barnet","Age 1",0
"23","Barnet","Age 10",9
"24","Barnet","Age 11",23
"25","Barnet","Age 12",28
"26","Barnet","Age 13",26
"27","Barnet","Age 14",20
"28","Barnet","Age 15",26
"29","Barnet","Age 16",16
"30","Barnet","Age 17",7
"31","Barnet","Age 18",5
"32","Barnet","Age 19 plus",0
"33","Barnet","Age 2",0
"34","Barnet","Age 3",0
"35","Barnet","Age 4",1
"36","Barnet","Age 5",7
"37","Barnet","Age 6",5
"38","Barnet","Age 7",3
"39","Barnet","Age 8",9
"40","Barnet","Age 9",20
"41","Barnsley","Age 0",0
"42","Barnsley","Age 1",0
"43","Barnsley","Age 10",17
"44","Barnsley","Age 11",25
"45","Barnsley","Age 12",41
"46","Barnsley","Age 13",52
"47","Barnsley","Age 14",54
"48","Barnsley","Age 15",48
"49","Barnsley","Age 16",23
"50","Barnsley","Age 17",28
"51","Barnsley","Age 18",11
"52","Barnsley","Age 19 plus",0
"53","Barnsley","Age 2",0
"54","Barnsley","Age 3",1
"55","Barnsley","Age 4",1
"56","Barnsley","Age 5",5
"57","Barnsley","Age 6",7
"58","Barnsley","Age 7",27
"59","Barnsley","Age 8",26
"60","Barnsley","Age 9",23
"61","Bath and North East Somerset","Age 0",0
"62","Bath and North East Somerset","Age 1",0
"63","Bath and North East Somerset","Age 10",4
"64","Bath and North East Somerset","Age 11",24
"65","Bath and North East Somerset","Age 12",18
"66","Bath and North East Somerset","Age 13",25
"67","Bath and North East Somerset","Age 14",34
"68","Bath and North East Somerset","Age 15",28
"69","Bath and North East Somerset","Age 16",21
"70","Bath and North East Somerset","Age 17",16
"71","Bath and North East Somerset","Age 18",19
"72","Bath and North East Somerset","Age 19 plus",0
"73","Bath and North East Somerset","Age 2",0
"74","Bath and North East Somerset","Age 3",0
"75","Bath and North East Somerset","Age 4",0
"76","Bath and North East Somerset","Age 5",1
"77","Bath and North East Somerset","Age 6",0
"78","Bath and North East Somerset","Age 7",4
"79","Bath and North East Somerset","Age 8",4
"80","Bath and North East Somerset","Age 9",5
"81","Bedford","Age 0",0
"82","Bedford","Age 1",0
"83","Bedford","Age 10",11
"84","Bedford","Age 11",17
"85","Bedford","Age 12",20
"86","Bedford","Age 13",26
"87","Bedford","Age 14",29
"88","Bedford","Age 15",24
"89","Bedford","Age 16",19
"90","Bedford","Age 17",39
"91","Bedford","Age 18",23
"92","Bedford","Age 19 plus",0
"93","Bedford","Age 2",0
"94","Bedford","Age 3",0
"95","Bedford","Age 4",1
"96","Bedford","Age 5",4
"97","Bedford","Age 6",2
"98","Bedford","Age 7",9
"99","Bedford","Age 8",6
"100","Bedford","Age 9",13
"101","Bexley","Age 0",0
"102","Bexley","Age 1",0
"103","Bexley","Age 10",5
"104","Bexley","Age 11",10
"105","Bexley","Age 12",16
"106","Bexley","Age 13",17
"107","Bexley","Age 14",32
"108","Bexley","Age 15",41
"109","Bexley","Age 16",35
"110","Bexley","Age 17",25
"111","Bexley","Age 18",18
"112","Bexley","Age 19 plus",5
"113","Bexley","Age 2",0
"114","Bexley","Age 3",0
"115","Bexley","Age 4",1
"116","Bexley","Age 5",2
"117","Bexley","Age 6",1
"118","Bexley","Age 7",5
"119","Bexley","Age 8",4
"120","Bexley","Age 9",7
"121","Birmingham","Age 0",0
"122","Birmingham","Age 1",0
"123","Birmingham","Age 10",29
"124","Birmingham","Age 11",59
"125","Birmingham","Age 12",65
"126","Birmingham","Age 13",101
"127","Birmingham","Age 14",135
"128","Birmingham","Age 15",103
"129","Birmingham","Age 16",158
"130","Birmingham","Age 17",151
"131","Birmingham","Age 18",142
"132","Birmingham","Age 19 plus",0
"133","Birmingham","Age 2",0
"134","Birmingham","Age 3",0
"135","Birmingham","Age 4",6
"136","Birmingham","Age 5",14
"137","Birmingham","Age 6",16
"138","Birmingham","Age 7",11
"139","Birmingham","Age 8",19
"140","Birmingham","Age 9",21
"141","Blackburn with Darwen","Age 0",0
"142","Blackburn with Darwen","Age 1",0
"143","Blackburn with Darwen","Age 10",10
"144","Blackburn with Darwen","Age 11",16
"145","Blackburn with Darwen","Age 12",19
"146","Blackburn with Darwen","Age 13",13
"147","Blackburn with Darwen","Age 14",11
"148","Blackburn with Darwen","Age 15",13
"149","Blackburn with Darwen","Age 16",1
"150","Blackburn with Darwen","Age 17",2
"151","Blackburn with Darwen","Age 18",2
"152","Blackburn with Darwen","Age 19 plus",0
"153","Blackburn with Darwen","Age 2",0
"154","Blackburn with Darwen","Age 3",0
"155","Blackburn with Darwen","Age 4",0
"156","Blackburn with Darwen","Age 5",2
"157","Blackburn with Darwen","Age 6",5
"158","Blackburn with Darwen","Age 7",4
"159","Blackburn with Darwen","Age 8",7
"160","Blackburn with Darwen","Age 9",5
"161","Blackpool","Age 0",0
"162","Blackpool","Age 1",0
"163","Blackpool","Age 10",7
"164","Blackpool","Age 11",20
"165","Blackpool","Age 12",26
"166","Blackpool","Age 13",23
"167","Blackpool","Age 14",36
"168","Blackpool","Age 15",34
"169","Blackpool","Age 16",27
"170","Blackpool","Age 17",16
"171","Blackpool","Age 18",5
"172","Blackpool","Age 19 plus",21
"173","Blackpool","Age 2",0
"174","Blackpool","Age 3",0
"175","Blackpool","Age 4",0
"176","Blackpool","Age 5",0
"177","Blackpool","Age 6",1
"178","Blackpool","Age 7",6
"179","Blackpool","Age 8",6
"180","Blackpool","Age 9",7
"181","Bolton","Age 0",0
"182","Bolton","Age 1",0
"183","Bolton","Age 10",18
"184","Bolton","Age 11",13
"185","Bolton","Age 12",20
"186","Bolton","Age 13",33
"187","Bolton","Age 14",51
"188","Bolton","Age 15",80
"189","Bolton","Age 16",26
"190","Bolton","Age 17",15
"191","Bolton","Age 18",17
"192","Bolton","Age 19 plus",0
"193","Bolton","Age 2",0
"194","Bolton","Age 3",0
"195","Bolton","Age 4",1
"196","Bolton","Age 5",3
"197","Bolton","Age 6",7
"198","Bolton","Age 7",4
"199","Bolton","Age 8",5
"200","Bolton","Age 9",5
"201","Bournemouth, Christchurch and Poole","Age 0",0
"202","Bournemouth, Christchurch and Poole","Age 1",0
"203","Bournemouth, Christchurch and Poole","Age 10",39
"204","Bournemouth, Christchurch and Poole","Age 11",58
"205","Bournemouth, Christchurch and Poole","Age 12",77
"206","Bournemouth, Christchurch and Poole","Age 13",89
"207","Bournemouth, Christchurch and Poole","Age 14",111
"208","Bournemouth, Christchurch and Poole","Age 15",117
"209","Bournemouth, Christchurch and Poole","Age 16",92
"210","Bournemouth, Christchurch and Poole","Age 17",61
"211","Bournemouth, Christchurch and Poole","Age 18",61
"212","Bournemouth, Christchurch and Poole","Age 19 plus",0
"213","Bournemouth, Christchurch and Poole","Age 2",1
"214","Bournemouth, Christchurch and Poole","Age 3",3
"215","Bournemouth, Christchurch and Poole","Age 4",11
"216","Bournemouth, Christchurch and Poole","Age 5",25
"217","Bournemouth, Christchurch and Poole","Age 6",36
"218","Bournemouth, Christchurch and Poole","Age 7",35
"219","Bournemouth, Christchurch and Poole","Age 8",28
"220","Bournemouth, Christchurch and Poole","Age 9",37
"221","Bracknell Forest","Age 0",0
"222","Bracknell Forest","Age 1",0
"223","Bracknell Forest","Age 10",0
"224","Bracknell Forest","Age 11",1
"225","Bracknell Forest","Age 12",1
"226","Bracknell Forest","Age 13",2
"227","Bracknell Forest","Age 14",7
"228","Bracknell Forest","Age 15",9
"229","Bracknell Forest","Age 16",8
"230","Bracknell Forest","Age 17",1
"231","Bracknell Forest","Age 18",1
"232","Bracknell Forest","Age 19 plus",0
"233","Bracknell Forest","Age 2",0
"234","Bracknell Forest","Age 3",1
"235","Bracknell Forest","Age 4",0
"236","Bracknell Forest","Age 5",0
"237","Bracknell Forest","Age 6",0
"238","Bracknell Forest","Age 7",1
"239","Bracknell Forest","Age 8",1
"240","Bracknell Forest","Age 9",4
"241","Bradford","Age 0",0
"242","Bradford","Age 1",0
"243","Bradford","Age 10",4
"244","Bradford","Age 11",5
"245","Bradford","Age 12",13
"246","Bradford","Age 13",36
"247","Bradford","Age 14",63
"248","Bradford","Age 15",71
"249","Bradford","Age 16",33
"250","Bradford","Age 17",45
"251","Bradford","Age 18",12
"252","Bradford","Age 19 plus",0
"253","Bradford","Age 2",0
"254","Bradford","Age 3",0
"255","Bradford","Age 4",0
"256","Bradford","Age 5",2
"257","Bradford","Age 6",0
"258","Bradford","Age 7",1
"259","Bradford","Age 8",4
"260","Bradford","Age 9",4
